en,my
There is no soap in the bathroom,ရေချိုးခန်းမှာ ဆပ်ပြာ မရှိဘူး။
You cannot go into this room,ဒီအခန်းထဲကို ဝင်လို့မဖြစ်ဘူး။
I will go to the embassy tomorrow,ကျွန်တော် မနက်ဖန် သံရုံးကို သွားမယ်။
You should stop reading books where it is dark,အမှောင်ထဲမှာ စာကြည့်တာမျိုး ရှောင်သင့်တယ်။
I have bumped into Mr Kobayashi many times today,ဒီနေ့ မစ္စတာခိုဘာယာရှိနဲ့ ခဏခဏ တွေ့တယ်။
Japan is a small country,ဂျပန်က ကျဉ်းတဲ့နိုင်ငံ ဖြစ်တယ်။
I will transfer the money by the seventh,ခုနစ်ရက်နေ့အရောက် ပိုက်ဆံလွှဲလိုက်မယ်။
My sisters wedding party was held last week,ရှေ့အပတ်က အစ်မရဲ့ မင်္ဂလာပွဲ ရှိလို့။
I will do that work by myself,အဲဒီအလုပ်ကိုတော့ ကိုယ့်ဟာကိုယ် လုပ်မယ်။
I bought a calendar for next year at the department store,ကုန်တိုက်ကနေ နောက်နှစ်အတွက်ပြက္ခဒိန်ကို ဝယ်တယ်။
Today we had class from morning until evening,ဒီနေ့ မနက်ကနေ ညနေအထိ အတန်း ရှိတယ်။
What kind of film is it,ဘယ်လိုရုပ်ရှင်မျိုးလဲ။
This bag was expensive,ဒီအိတ်ကို ဈေးကြီးကြီး ပေးခဲ့ရတယ်။
I wear a hat when it is hot,ပူတဲ့နေ့ဆို ဦးထုပ်ဆောင်းပြီး အပြင်ထွက်တယ်။
I like red more than blue,ကျွန်တော် အနီထက် အပြာကို ပိုကြိုက်တယ်။
It is going to get hot tomorrow so I was thinking about swimming in the pool,မနက်ဖန် ရာသီဥတုပူမှာမို့လို့ ရေကူးကန်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။
I cannot play sport because my body is weak,ကိုယ်ခံအား မကောင်းလို့ အားကစားလုပ်လို့မရဘူး။
Lets go get lunch later,နောက်မှ နေ့လယ်စာ အတူတူ စားကြတာပေါ့။
Those people are my friends,သူတို့တွေက သူငယ်ချင်းတွေပါ။
I must go to the embassy tomorrow,မနက်ဖန် သံရုံး မသွားလို့မဖြစ်ဘူး။
This is the second floor,ဒီနေရာက ဒုတိယထပ်ပါ။
Mr Matsui gave a tie to Mr Tanaka for his birthday,မစ္စတာမဆုအိက မစ္စတာတာနာခါရဲ့ မွေးနေ့အတွက် နက်ကတိုင် လက်ဆောင်ပေးတယ်။
I teach Japanese to foreigners,ကျွန်တော် နိုင်ငံခြားသားတွေကို ဂျပန်စာ သင်ပေးနေတယ်။
We write our answers on this paper,ဒီစာရွက်မှာ မေးခွန်းရဲ့ အဖြေကို ရေးမယ်။
I studied yesterday,မနေ့တုန်းက ကျွန်တော် စာဖတ်တယ်။
This book has  pages,ဒီစာအုပ်က စာမျက်နှာ တစ်ရာ့နှစ်ဆယ် ရှိတယ်။
Every year I go on a family trip,နှစ်တိုင်း မိသားစုနဲ့ ခရီးထွက်တယ်။
I want this and that,ဒါရယ် အဲဒါရယ် လိုချင်ပါတယ်။
The question is written on page,မေးခွန်းက စာမျက်နှာဆယ်ငါးမှာ ရေးထားတယ်။
What is your favourite food,ဘာအစားအစာ ကြိုက်သလဲ။
I read the composition Mr Matsui wrote,ကျွန်တော် မစ္စတာမဆုအိ ရေးတဲ့ စာစီစာကုံးကို ဖတ်တယ်။
Today I will go watch a film with Mr Lee,ဒီနေ့ မစ္စတာလီနဲ့ ရုပ်ရှင် သွားကြည့်မယ်။
That young energetic person is Mr Yamada,ဟို ငယ်ရွယ်ပြီး သွက်လက်တဲ့ လူက မစ္စတာယာမာဒါပါ။
I took that picture last month,အဲဒီဓာတ်ပုံက ရှေ့လက တိုကျိုမှာ ရိုက်ထားတာ။
It is cold because the wind is blowing,လေတိုက်နေလို့ ချမ်းတယ်။
I will meet a foreigner friend tomorrow,မနက်ဖန် နိုင်ငံခြားသားမိတ်ဆွေနဲ့ တွေ့မယ်။
This dish can be made at home,ဒီဟင်းက အိမ်မှာ ချက်လို့ရတယ်။
I want to live in a high place,ကျွန်တော် မြင့်တဲ့နေရာမှာ နေချင်တယ်။
That teacher is very admirable,အဲဒီဆရာက အရမ်း ထူးချွန်တဲ့ပုဂ္ဂိုလ်ပါ။
I want a computer now,ကျွန်တော် အခု ကွန်ပျူတာ လိုချင်တယ်။
We cross that intersection and go left,အဲဒီလမ်းဆုံကို ဖြတ်ပြီး ဘယ်ဘက်ကို ကွေ့မယ်။
The underground train is cheap fast and very convenient,မြေအောက်လိုင်းက ဈေးပေါပြီး အရမ်း အဆင်ပြေတယ်။
It was raining yesterday so I was at my house the whole day,ဒီနေ့ မိုးရွာလို့ တစ်နေ့လုံး အိမ်မှာ ရှိတယ်။
I have a cold and my temperature is  degrees,အအေးမိပြီး ကိုယ်အပူချိန် သုံးဆယ့်ရှစ်ဒီဂရီ ရှိတယ်။
It is not cold today,ဒီနေ့ မအေးဘူး။
I saw Mr Tanaka running,မစ္စတာတာနာခါ ပြေးနေတာကို မြင်လိုက်တယ်။
Can I give it back to you after lunch break,နေ့ခင်း နားတဲ့အချိန်မှ ပြန်ပေးလို့ရမလား။
This is the tape I bought yesterday,ဒါ မနေ့က ဝယ်ခဲ့တဲ့ တိတ်ခွေပါ။
I am thinking of cleaning when I get home,အိမ်ပြန်ရောက်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးတယ်။
I must do the laundry tomorrow morning,နက်ဖန်မနက်ကျရင် အဝတ်မလျှော်လို့မဖြစ်ဘူး။
The bird is drinking water,ငှက် ရေသောက်နေတယ်။
I will meet Mr Lee tomorrow and I will give him a souvenir,မနက်ဖန် မစ္စတာလီနဲ့ တွေ့ပြီး လက်ဆောင်ပေးမယ်။
The meat at this store is cheap today,ဒီနေ့ ဒီဆိုင်မှာ အသား ဈေးပေါတယ်။
I write with a pen,ဘောပင်နဲ့ စာရေးတယ်။
This notebook is different from my notebook,ဒီမှတ်စုစာအုပ်က ကျွန်တော့်မှတ်စုစာအုပ်နဲ့ မတူဘူး။
I will get on the airplane,လေယာဉ်ပျံ စီးမယ်။
What is Mr Tanaka doing,မစ္စတာတာနာခါ အခု ဘာလုပ်နေလဲ။
I bought a sweater skirt and so on at the department store yesterday,မနေ့က ကုန်တိုက်မှာ ဆွယ်တာတွေ စကတ်တွေ ဝယ်ခဲ့တယ်။
Where is the Japanese classroom,ဂျပန်စာစာသင်ခန်းက ဘယ်မှာလဲ။
We read  as four,ဂျပန်လို လေးကို ယွန်းလို့ ဖတ်တယ်။
It is bad for you to smoke,ဆေးလိပ်သောက်ရင် ကျန်းမာရေး ထိခိုက်တယ်။
This road is narrow and dangerous,ဒီလမ်းက အရမ်း ကျဉ်းပြီး အန္တရာယ်များတယ်။
I eat vegetables and fruit every morning,ကျွန်တော် မနက်တိုင်း ဟင်းသီးဟင်းရွက်နဲ့ သစ်သီး စားတယ်။
I got the salt for Mr Lee,မစ္စတာလီကို ဆား ယူပေးတယ်။
Beef is the most expensive of all kinds of meat,အမဲသားက အသားတွေထဲမှာ ဈေးအကြီးဆုံးပဲ။
I would like to become a respectable adult,ထူးချွန်တဲ့လူ ဖြစ်ချင်တယ်။
I know Mr Yamadas telephone number,ကျွန်တော် မစ္စတာယာမာဒါရဲ့ ဖုန်းနံပါတ်ကို သိတယ်။
I always shop at this supermarket,ကျွန်တော် အမြဲတမ်း ဒီစူပါမားကက်မှာ ဈေးဝယ်တယ်။
My mother taught me how to cook,ဟင်းချက်နည်းကို အမေ့ဆီက သင်ထားတာ။
My mother was born on the th of November,အမေ့ကို ဆယ့်တစ်လပိုင်း နှစ်ဆယ့်ကိုးရက်နေ့မှာ မွေးခဲ့တယ်။
I smoke,ကျွန်တော် ဆေးလိပ်သောက်တယ်။
I wasnt at home all day yesterday,မနေ့က တစ်နေ့ကုန် အိမ်မှာ မရှိဘူး။
The school is near the house,ကျောင်းက အိမ်နားမှာပါ။
Mr Hayashi lives in a town where there are a lot of people,မစ္စတာဟယရှိက လူနေထူထပ်တဲ့ မြို့မှာ နေတယ်။
This dictionary is not very good,ဒီအဘိဓာန်က သိပ် မကောင်းဘူး။
The door to my room wouldnt close,ကျွန်တော့်အခန်းတံခါးက ပိတ်လို့မရဘူး။
My fever was too high so I couldnt go to school,ကိုယ် အရမ်း ပူလို့ ကျောင်းမသွားနိုင်ဘူး။
That beautiful woman is Ms Kimura,ဟိုအမျိုးသမီးချောလေးက မစ္စခိမုရပါ။
I wake up at,ကျွန်တော် ခုနစ်နာရီခွဲမှာ အိပ်ရာထတယ်။
My little sister has big eyes and is highnosed,ညီမလေးက မျက်လုံး ပြူးပြီး နှာခေါင်း ချွန်တယ်။
I borrowed three books at the library,စာကြည့်တိုက်ကနေ စာအုပ် သုံးအုပ် ငှားခဲ့တယ်။
This curry is very spicy,ဒီကာရီဟင်းက အရမ်း စပ်တယ်။
I heard from the teacher that there will be a new student coming next month,ဆရာ့ဆီက ကြားတာ၊ နောက်လကစပြီး ကျောင်းသားသစ် လာမယ်ဆိုပဲ။
